Review_ID,Product_ID,Product_Category,User_ID,Review_Text,Rating,Review_Length,Verified_Purchase,Review_Date,Label_Fake
R1151,P41,Electronics,U188,"Okay-ish, not worth the price.",3,134,No,2023-06-01,0
R1152,P1,Electronics,U199,"Loved it, will buy again!",3,205,Yes,2023-06-02,0
R1153,P19,Electronics,U59,"Excellent product, highly recommend!",4,86,Yes,2023-06-03,0
R1154,P20,Home & Kitchen,U46,"Terrible quality, broke in 2 days.",4,75,Yes,2023-06-04,0
R1155,P10,Electronics,U19,Looks fake and cheap.,2,59,Yes,2023-06-05,0
R1156,P5,Clothing,U100,"Excellent product, highly recommend!",3,117,Yes,2023-06-06,0
R1157,P23,Sports,U160,"Excellent product, highly recommend!",3,59,Yes,2023-06-07,0
R1158,P35,Electronics,U183,Great value for money.,5,110,Yes,2023-06-08,0
R1159,P45,Home & Kitchen,U57,Looks fake and cheap.,4,224,Yes,2023-06-09,0
R1160,P29,Home & Kitchen,U19,Looks fake and cheap.,3,52,Yes,2023-06-10,0
R1161,P1,Electronics,U13,"Excellent product, highly recommend!",2,25,Yes,2023-06-11,0
R1162,P30,Sports,U147,Worst experience ever.,2,235,Yes,2023-06-12,0
R1163,P16,Electronics,U124,Great value for money.,3,166,Yes,2023-06-13,0
R1164,P6,Home & Kitchen,U56,Great value for money.,4,99,Yes,2023-06-14,0
R1165,P35,Books,U70,"Okay-ish, not worth the price.",2,187,Yes,2023-06-15,0
R1166,P18,Clothing,U80,Genuine and premium feel.,5,111,Yes,2023-06-16,0
R1167,P46,Home & Kitchen,U7,Looks fake and cheap.,2,116,Yes,2023-06-17,1
R1168,P44,Electronics,U55,"Excellent product, highly recommend!",1,78,Yes,2023-06-18,0
R1169,P10,Clothing,U102,"Okay-ish, not worth the price.",1,78,Yes,2023-06-19,0
R1170,P41,Electronics,U94,"Loved it, will buy again!",4,67,No,2023-06-20,0
R1171,P15,Electronics,U175,"Terrible quality, broke in 2 days.",3,188,Yes,2023-06-21,0
R1172,P26,Books,U87,Genuine and premium feel.,4,32,Yes,2023-06-22,0
R1173,P22,Clothing,U172,Genuine and premium feel.,4,126,Yes,2023-06-23,1
R1174,P7,Clothing,U6,Genuine and premium feel.,4,64,Yes,2023-06-24,0
R1175,P37,Books,U109,Great value for money.,4,108,Yes,2023-06-25,0
R1176,P50,Home & Kitchen,U122,"Loved it, will buy again!",5,200,Yes,2023-06-26,0
R1177,P12,Electronics,U124,Genuine and premium feel.,5,189,Yes,2023-06-27,0
R1178,P40,Sports,U178,"Loved it, will buy again!",2,119,Yes,2023-06-28,0
R1179,P36,Electronics,U191,Worst experience ever.,1,210,Yes,2023-06-29,0
R1180,P1,Electronics,U108,Genuine and premium feel.,4,174,No,2023-06-30,0
R1181,P12,Home & Kitchen,U20,"Terrible quality, broke in 2 days.",2,185,No,2023-07-01,0
R1182,P11,Electronics,U80,"Loved it, will buy again!",1,207,No,2023-07-02,0
R1183,P39,Books,U112,"Loved it, will buy again!",3,26,No,2023-07-03,1
R1184,P38,Books,U102,"Terrible quality, broke in 2 days.",5,152,Yes,2023-07-04,0
R1185,P32,Clothing,U177,Genuine and premium feel.,1,64,Yes,2023-07-05,0
R1186,P41,Sports,U189,"Terrible quality, broke in 2 days.",3,77,Yes,2023-07-06,0
R1187,P17,Electronics,U177,"Loved it, will buy again!",1,50,Yes,2023-07-07,0
R1188,P21,Electronics,U21,"Terrible quality, broke in 2 days.",5,42,No,2023-07-08,1
R1189,P8,Home & Kitchen,U52,"Loved it, will buy again!",5,189,Yes,2023-07-09,0
R1190,P13,Books,U49,"Loved it, will buy again!",2,157,No,2023-07-10,0
R1191,P30,Sports,U27,Worst experience ever.,4,179,Yes,2023-07-11,1
R1192,P24,Clothing,U5,"Excellent product, highly recommend!",1,126,No,2023-07-12,0
R1193,P25,Books,U135,"Loved it, will buy again!",1,200,Yes,2023-07-13,1
R1194,P26,Clothing,U44,Genuine and premium feel.,3,177,Yes,2023-07-14,0
R1195,P7,Home & Kitchen,U84,"Okay-ish, not worth the price.",5,58,Yes,2023-07-15,0
R1196,P35,Home & Kitchen,U68,Great value for money.,1,178,Yes,2023-07-16,0
R1197,P14,Electronics,U10,Looks fake and cheap.,5,101,Yes,2023-07-17,0
R1198,P30,Sports,U78,"Excellent product, highly recommend!",1,119,Yes,2023-07-18,1
R1199,P50,Clothing,U45,"Excellent product, highly recommend!",2,21,No,2023-07-19,0
R1200,P4,Books,U33,"Excellent product, highly recommend!",4,225,Yes,2023-07-20,0
R1201,P29,Home & Kitchen,U29,Worst experience ever.,1,96,Yes,2023-07-21,0
R1202,P45,Electronics,U21,"Loved it, will buy again!",5,240,Yes,2023-07-22,0
R1203,P20,Electronics,U184,Worst experience ever.,2,31,No,2023-07-23,0
R1204,P24,Clothing,U121,"Loved it, will buy again!",1,58,Yes,2023-07-24,1
R1205,P46,Home & Kitchen,U37,Genuine and premium feel.,3,213,Yes,2023-07-25,0
R1206,P15,Sports,U160,Worst experience ever.,4,243,Yes,2023-07-26,0
R1207,P20,Home & Kitchen,U6,Worst experience ever.,1,32,Yes,2023-07-27,0
R1208,P31,Clothing,U109,Great value for money.,2,65,Yes,2023-07-28,0
R1209,P46,Clothing,U125,"Okay-ish, not worth the price.",3,174,Yes,2023-07-29,0
R1210,P9,Home & Kitchen,U145,Worst experience ever.,2,132,Yes,2023-07-30,0
R1211,P29,Clothing,U195,Great value for money.,2,36,No,2023-07-31,1
R1212,P47,Home & Kitchen,U93,"Terrible quality, broke in 2 days.",3,123,Yes,2023-08-01,0
R1213,P41,Books,U184,"Okay-ish, not worth the price.",2,242,Yes,2023-08-02,0
R1214,P31,Home & Kitchen,U26,Genuine and premium feel.,3,117,Yes,2023-08-03,0
R1215,P2,Home & Kitchen,U108,Worst experience ever.,1,207,No,2023-08-04,1
R1216,P49,Clothing,U192,Looks fake and cheap.,3,211,Yes,2023-08-05,0
R1217,P29,Clothing,U72,"Excellent product, highly recommend!",3,107,No,2023-08-06,0
R1218,P12,Electronics,U174,"Terrible quality, broke in 2 days.",4,128,Yes,2023-08-07,0
R1219,P31,Electronics,U67,"Terrible quality, broke in 2 days.",3,182,Yes,2023-08-08,0
R1220,P28,Books,U179,Genuine and premium feel.,3,89,Yes,2023-08-09,0
R1221,P29,Electronics,U78,Great value for money.,1,230,No,2023-08-10,0
R1222,P36,Home & Kitchen,U160,"Terrible quality, broke in 2 days.",4,177,Yes,2023-08-11,0
R1223,P48,Clothing,U110,"Okay-ish, not worth the price.",5,218,No,2023-08-12,0
R1224,P28,Electronics,U52,Worst experience ever.,1,93,No,2023-08-13,1
R1225,P11,Electronics,U180,Worst experience ever.,1,243,Yes,2023-08-14,0
R1226,P16,Books,U176,Looks fake and cheap.,5,245,Yes,2023-08-15,0
R1227,P38,Books,U9,Genuine and premium feel.,3,82,Yes,2023-08-16,0
R1228,P33,Home & Kitchen,U174,"Excellent product, highly recommend!",2,175,Yes,2023-08-17,0
R1229,P44,Clothing,U94,Great value for money.,4,79,No,2023-08-18,0
R1230,P16,Books,U163,"Excellent product, highly recommend!",2,98,No,2023-08-19,0
R1231,P24,Electronics,U42,"Terrible quality, broke in 2 days.",5,241,Yes,2023-08-20,0
R1232,P10,Clothing,U172,Genuine and premium feel.,1,56,Yes,2023-08-21,0
R1233,P39,Clothing,U16,Looks fake and cheap.,1,240,No,2023-08-22,0
R1234,P7,Electronics,U186,"Excellent product, highly recommend!",4,41,Yes,2023-08-23,0
R1235,P15,Books,U68,"Okay-ish, not worth the price.",1,215,No,2023-08-24,0
R1236,P9,Electronics,U44,Worst experience ever.,1,167,Yes,2023-08-25,0
R1237,P16,Clothing,U175,"Terrible quality, broke in 2 days.",4,115,Yes,2023-08-26,0
R1238,P48,Sports,U48,Looks fake and cheap.,4,247,Yes,2023-08-27,0
R1239,P36,Sports,U112,"Excellent product, highly recommend!",5,87,Yes,2023-08-28,0
R1240,P38,Home & Kitchen,U42,Great value for money.,1,238,Yes,2023-08-29,0
R1241,P32,Electronics,U35,"Okay-ish, not worth the price.",1,211,Yes,2023-08-30,0
R1242,P8,Electronics,U14,"Okay-ish, not worth the price.",5,36,Yes,2023-08-31,0
R1243,P37,Home & Kitchen,U68,"Excellent product, highly recommend!",3,31,No,2023-09-01,0
R1244,P35,Home & Kitchen,U139,Worst experience ever.,3,169,No,2023-09-02,1
R1245,P37,Home & Kitchen,U39,"Excellent product, highly recommend!",3,164,Yes,2023-09-03,1
R1246,P48,Clothing,U71,"Terrible quality, broke in 2 days.",5,157,Yes,2023-09-04,1
R1247,P44,Electronics,U93,"Excellent product, highly recommend!",1,137,Yes,2023-09-05,0
R1248,P38,Clothing,U115,"Okay-ish, not worth the price.",5,212,Yes,2023-09-06,0
R1249,P45,Home & Kitchen,U50,Looks fake and cheap.,5,41,Yes,2023-09-07,1
R1250,P13,Electronics,U26,"Excellent product, highly recommend!",3,237,Yes,2023-09-08,0
R1251,P18,Clothing,U119,Worst experience ever.,2,139,Yes,2023-09-09,0
R1252,P10,Clothing,U62,Genuine and premium feel.,1,229,Yes,2023-09-10,0
R1253,P1,Home & Kitchen,U46,Looks fake and cheap.,3,69,Yes,2023-09-11,0
R1254,P29,Electronics,U89,Great value for money.,2,33,Yes,2023-09-12,1
R1255,P31,Home & Kitchen,U59,"Loved it, will buy again!",2,211,No,2023-09-13,0
R1256,P30,Electronics,U161,"Excellent product, highly recommend!",4,194,Yes,2023-09-14,0
R1257,P35,Sports,U59,Worst experience ever.,1,48,Yes,2023-09-15,0
R1258,P40,Books,U102,Looks fake and cheap.,2,223,Yes,2023-09-16,0
R1259,P20,Books,U156,Worst experience ever.,3,183,Yes,2023-09-17,0
R1260,P32,Books,U140,Great value for money.,4,246,No,2023-09-18,0
R1261,P10,Home & Kitchen,U50,"Okay-ish, not worth the price.",1,199,Yes,2023-09-19,0
R1262,P31,Sports,U54,Worst experience ever.,5,144,No,2023-09-20,1
R1263,P36,Electronics,U93,Looks fake and cheap.,3,223,Yes,2023-09-21,0
R1264,P37,Clothing,U93,Worst experience ever.,2,26,Yes,2023-09-22,0
R1265,P36,Electronics,U111,Worst experience ever.,2,48,No,2023-09-23,0
R1266,P30,Clothing,U22,Worst experience ever.,3,158,Yes,2023-09-24,0
R1267,P44,Electronics,U98,"Terrible quality, broke in 2 days.",2,52,Yes,2023-09-25,0
R1268,P35,Sports,U195,"Terrible quality, broke in 2 days.",4,153,Yes,2023-09-26,0
R1269,P1,Clothing,U35,"Okay-ish, not worth the price.",1,130,Yes,2023-09-27,0
R1270,P21,Home & Kitchen,U61,"Excellent product, highly recommend!",4,98,No,2023-09-28,0
R1271,P4,Electronics,U51,Worst experience ever.,2,179,Yes,2023-09-29,1
R1272,P50,Electronics,U162,Great value for money.,5,198,Yes,2023-09-30,0
R1273,P14,Clothing,U118,"Excellent product, highly recommend!",1,222,Yes,2023-10-01,0
R1274,P25,Home & Kitchen,U33,Great value for money.,1,77,Yes,2023-10-02,0
R1275,P20,Home & Kitchen,U165,"Excellent product, highly recommend!",3,234,Yes,2023-10-03,0
R1276,P3,Sports,U73,"Okay-ish, not worth the price.",3,45,Yes,2023-10-04,0
R1277,P49,Home & Kitchen,U133,Worst experience ever.,5,245,Yes,2023-10-05,1
R1278,P11,Home & Kitchen,U54,Worst experience ever.,1,193,No,2023-10-06,1
R1279,P22,Home & Kitchen,U8,"Loved it, will buy again!",5,245,Yes,2023-10-07,0
R1280,P29,Books,U78,Great value for money.,3,48,Yes,2023-10-08,1
R1281,P2,Sports,U139,"Excellent product, highly recommend!",3,23,No,2023-10-09,0
R1282,P20,Electronics,U131,"Excellent product, highly recommend!",1,228,Yes,2023-10-10,0
R1283,P48,Clothing,U48,Genuine and premium feel.,4,118,Yes,2023-10-11,0
R1284,P6,Electronics,U11,Genuine and premium feel.,2,160,Yes,2023-10-12,1
R1285,P26,Sports,U61,"Terrible quality, broke in 2 days.",3,58,Yes,2023-10-13,0
R1286,P39,Clothing,U51,"Loved it, will buy again!",3,34,Yes,2023-10-14,0
R1287,P32,Sports,U38,Looks fake and cheap.,4,138,No,2023-10-15,0
R1288,P3,Home & Kitchen,U115,Genuine and premium feel.,4,48,Yes,2023-10-16,0
R1289,P5,Clothing,U48,Looks fake and cheap.,5,176,Yes,2023-10-17,0
R1290,P9,Home & Kitchen,U116,"Terrible quality, broke in 2 days.",5,94,No,2023-10-18,1
R1291,P23,Electronics,U164,"Terrible quality, broke in 2 days.",2,135,Yes,2023-10-19,0
R1292,P7,Electronics,U165,"Terrible quality, broke in 2 days.",2,51,Yes,2023-10-20,0
R1293,P29,Clothing,U119,Great value for money.,1,149,Yes,2023-10-21,1
R1294,P2,Clothing,U13,Great value for money.,5,194,No,2023-10-22,0
R1295,P7,Sports,U178,"Okay-ish, not worth the price.",3,225,Yes,2023-10-23,1
R1296,P28,Sports,U29,"Okay-ish, not worth the price.",5,103,Yes,2023-10-24,0
R1297,P43,Home & Kitchen,U186,"Terrible quality, broke in 2 days.",3,41,Yes,2023-10-25,0
R1298,P4,Clothing,U151,"Loved it, will buy again!",4,222,Yes,2023-10-26,0
R1299,P17,Electronics,U78,"Excellent product, highly recommend!",5,46,Yes,2023-10-27,1
R1300,P29,Sports,U36,Great value for money.,4,214,Yes,2023-10-28,0
R1301,P34,Sports,U130,"Loved it, will buy again!",2,100,No,2023-10-29,0
R1302,P12,Electronics,U130,Worst experience ever.,2,145,Yes,2023-10-30,0
R1303,P13,Sports,U110,Great value for money.,1,203,Yes,2023-10-31,0
R1304,P1,Home & Kitchen,U198,Great value for money.,5,111,No,2023-11-01,0
R1305,P18,Clothing,U79,"Okay-ish, not worth the price.",4,240,No,2023-11-02,0
R1306,P10,Electronics,U111,"Excellent product, highly recommend!",3,40,Yes,2023-11-03,1
R1307,P47,Clothing,U199,"Excellent product, highly recommend!",2,66,Yes,2023-11-04,0
R1308,P14,Sports,U41,Genuine and premium feel.,2,227,Yes,2023-11-05,0
R1309,P16,Sports,U149,Looks fake and cheap.,3,120,No,2023-11-06,0
R1310,P18,Electronics,U77,Looks fake and cheap.,4,206,No,2023-11-07,1
R1311,P38,Home & Kitchen,U114,Looks fake and cheap.,4,103,Yes,2023-11-08,0
R1312,P45,Books,U91,Looks fake and cheap.,5,25,No,2023-11-09,0
R1313,P46,Electronics,U99,Worst experience ever.,5,166,Yes,2023-11-10,0
R1314,P17,Books,U152,Worst experience ever.,1,204,Yes,2023-11-11,0
R1315,P30,Books,U15,Great value for money.,2,216,Yes,2023-11-12,0
R1316,P7,Home & Kitchen,U181,"Terrible quality, broke in 2 days.",5,150,No,2023-11-13,0
